Date,Adj Close,Close,High,Low,Open,Volume
2020-10-30,9528.1201171875,10197.099609375,10400.0,10100.2001953125,10399.9501953125,1751
2020-11-02,9539.37890625,10209.150390625,10395.849609375,10145.0498046875,10200.0,3803
2020-11-03,9531.0166015625,10200.2001953125,10329.7001953125,10141.0498046875,10210.0,22504
2020-11-04,9518.0732421875,10186.349609375,10271.849609375,10100.099609375,10100.099609375,9500
2020-11-05,9509.8037109375,10177.5,10350.0,10111.0498046875,10186.349609375,1850
2020-11-06,9588.38671875,10261.599609375,10290.0,10160.900390625,10180.0,1517
2020-11-09,9568.6259765625,10240.4501953125,10364.0,10223.2998046875,10260.7998046875,1656
2020-11-10,10576.04296875,11318.599609375,11716.0,9981.0,10229.0,67479
2020-11-11,10268.345703125,10989.2998046875,11493.0,10650.0,11493.0,35295
2020-11-12,10078.8515625,10786.5,10970.0,10740.5,10955.0498046875,6803
2020-11-13,10103.57421875,10707.7001953125,10821.0,10640.0,10778.0,3638
2020-11-14,10239.4970703125,10851.75,10880.599609375,10709.7001953125,10729.900390625,1443
2020-11-17,10019.5947265625,10618.7001953125,10927.349609375,10580.0,10899.900390625,5047
2020-11-18,9983.5986328125,10580.5498046875,10754.400390625,10500.0,10645.0498046875,2835
2020-11-19,9891.3154296875,10482.75,10700.2001953125,10453.0,10700.2001953125,3767
2020-11-20,9907.921875,10500.349609375,10617.0,10361.0,10482.75,37128
2020-11-23,10076.162109375,10678.650390625,10799.9501953125,10556.0,10600.0,7817
2020-11-24,10004.734375,10602.9501953125,10774.0,10570.0,10678.650390625,18308
2020-11-25,10062.103515625,10663.75,10818.7001953125,10575.0,10575.0,12579
2020-11-26,10045.544921875,10646.2001953125,10726.7001953125,10540.75,10675.75,9320
2020-11-27,9926.369140625,10519.900390625,10800.0,10494.2998046875,10565.2001953125,13732
2020-12-01,10058.517578125,10659.9501953125,10719.5,10548.2998046875,10619.2001953125,8053
2020-12-02,9964.30078125,10560.099609375,10700.0,10511.0,10659.9501953125,9588
2020-12-03,10331.353515625,10949.099609375,11429.5,10490.349609375,10651.9501953125,26378
2020-12-04,10323.3798828125,10940.650390625,11261.0,10696.650390625,10997.0,10222
2020-12-07,10341.6875,10960.0498046875,11050.0,10851.150390625,11000.0,4042
2020-12-08,10317.7666015625,10934.7001953125,11011.5498046875,10870.0,10990.0,6289
2020-12-09,10286.1572265625,10901.2001953125,10993.099609375,10870.0,10930.0,4105
2020-12-10,10565.6923828125,11197.4501953125,11380.0,10845.599609375,10900.0,10499
2020-12-11,10694.4443359375,11333.900390625,11398.75,11155.7998046875,11198.0,12437
2020-12-14,10760.0703125,11403.4501953125,11456.099609375,11206.0,11206.0,6620
2020-12-15,10733.697265625,11375.5,11544.0,11250.0,11403.4501953125,7929
2020-12-16,10573.3349609375,11205.5498046875,11449.900390625,11160.2998046875,11302.0,5202
2020-12-17,10548.80078125,11179.5498046875,11368.4501953125,11055.2998046875,11156.0,7041
2020-12-18,10377.5419921875,10998.0498046875,11229.0,10977.849609375,11148.0,5851
2020-12-21,10340.8369140625,10959.150390625,11069.150390625,10920.0498046875,11069.0498046875,23534
2020-12-22,10288.6572265625,10903.849609375,11031.150390625,10755.0498046875,10959.0,14999
2020-12-23,10410.7548828125,11033.25,11119.150390625,10959.9501953125,11000.0,2273
2020-12-24,10461.427734375,11086.9501953125,11198.0,10922.099609375,11055.849609375,5290
2020-12-28,10350.9814453125,10969.900390625,11900.0,10743.349609375,11250.9501953125,86747
2020-12-29,10439.9580078125,11064.2001953125,11315.7001953125,10920.099609375,11041.0,35679
2020-12-30,10552.10546875,11183.0498046875,11344.0,11011.0,11199.7998046875,19796
